Status,Date,Description,Debit,Credit
Cleared,02-27-2026,"Cash Withdrawal 03:09p #6081 Citibank ATM 12 W 48TH STREET, NY, NY",400.00,,
Cleared,02-27-2026,"SPECTRUM SPECTRUM 9524273 : ACH Electronic Debit ",114.44,,
Cleared,02-27-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/25 05:03p #6081 ",3.00,,
Cleared,02-27-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/25 09:00a #6081 ",3.00,,
Cleared,02-26-2026,"3872AE UNITED ST DIRDEP : ACH Electronic Credit ",,581.78,
Cleared,02-26-2026,"D3198 DD *DOORDASH LOS3CHARR SAN FRANCISCO CA 26 : Mobile Purchase Sign Based 02/23 10:35p #6081 ",75.74,,
Cleared,02-26-2026,"D3198 BLG HARDWARE NEW YORK NY 26 : Mobile Purchase Sign Based 02/23 07:33p #6081 ",28.30,,
Cleared,02-26-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/24 05:05p #6081 ",3.00,,
Cleared,02-26-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/24 08:47a #6081 ",3.00,,
Cleared,02-25-2026,"LA LANTERNA DI VITTORI NEW YORK NY 26055 : Debit Card Purchase 02/22 09:10p #6081 ",123.43,,
Cleared,02-25-2026,"D3198 NBCU CAFE QPS NEW YORK NY 26 : Mobile Purchase Sign Based 02/23 12:27p #6081 ",17.31,,
Cleared,02-25-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/23 08:45a #6081 ",3.00,,
Cleared,02-25-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/23 03:36p #6081 ",2.00,,
Cleared,02-24-2026,"AffirmCard 5KSG AFFRM 6347307 : ACH Electronic Debit ",122.59,,
Cleared,02-24-2026,"D3198 FINE FARE SUPERMARKET NEW YORK NY 26 : Mobile Purchase Sign Based 02/20 06:53p #6081 ",51.95,,
Cleared,02-24-2026,"D3198 MINISO AMERICAN DREAM E RUTHERFORD NJ 26 : Mobile Purchase Sign Based 02/21 02:55p #6081 ",48.58,,
Cleared,02-24-2026,"D3198 SQ *BUBBLE PLANET: AN New Jersey NJ 26 : Mobile Purchase Sign Based 02/21 03:33p #6081 ",33.40,,
Cleared,02-24-2026,"D3198 SQ *AIM POINT East Rutherfo NJ 26 : Mobile Purchase Sign Based 02/21 03:25p #6081 ",25.30,,
Cleared,02-24-2026,"TRADEZELLA MIAMI FL 26054 : Mobile Purchase Sign Based 02/22 07:11p #6081 ",13.72,,
Cleared,02-24-2026,"D3198 H MART AMERICAN DREAM EAST RUTHERFO NJ 26 : Mobile Purchase Sign Based 02/21 03:11p #6081 ",13.04,,
Cleared,02-24-2026,"D3198 FIV*GONG CHA EAST RUTHERFO NJ 26 : Mobile Purchase Sign Based 02/21 05:29p #6081 ",12.79,,
Cleared,02-24-2026,"D3198 DD *DOORDASHDASHPASS SAN FRANCISCO CA 26 : Mobile Purchase Sign Based 02/21 06:57p #6081 ",9.99,,
Cleared,02-24-2026,"D3198 SQ *EL CHURRO New York NY 26 : Mobile Purchase Sign Based 02/20 09:52p #6081 ",8.71,,
Cleared,02-24-2026,"D3198 TST*THE GAME ROOM POWE East Rutherfo NJ 26 : Mobile Purchase Sign Based 02/21 06:54p #6081 ",5.33,,
Cleared,02-24-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/20 10:07p #6081 ",3.00,,
Cleared,02-24-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/20 07:54p #6081 ",3.00,,
Cleared,02-24-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/22 09:27p #6081 ",3.00,,
Cleared,02-24-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/22 07:37p #6081 ",3.00,,
Cleared,02-24-2026,"D3198 APPLE.COM/BILL CUPERTINO CA 26 : Mobile Purchase Sign Based 02/22 10:34a #6081 ",0.99,,
Cleared,02-23-2026,"DISCOVER E-PAYMENT 8247 : ACH Electronic Debit ",133.00,,
Cleared,02-23-2026,"D3198 STATUS JEWELS GAINESVILLE FLUS07 : Mobile Purchase PIN Based ",58.64,,
Cleared,02-23-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/19 09:30a #6081 ",11.43,,
Cleared,02-23-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/19 09:45a #6081 ",3.00,,
Cleared,02-23-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/19 05:05p #6081 ",3.00,,
Cleared,02-20-2026,"D3198 CHIPOTLE 0769 NEW YORK NY 26 : Mobile Purchase Sign Based 02/18 12:28p #6081 ",13.50,,
Cleared,02-20-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/18 09:42a #6081 ",12.74,,
Cleared,02-20-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/18 05:04p #6081 ",3.00,,
Cleared,02-20-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/18 08:47a #6081 ",3.00,,
Cleared,02-19-2026,"3872AE UNITED ST DIRDEP : ACH Electronic Credit ",,581.77,
Cleared,02-19-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/17 12:17p #6081 ",11.43,,
Cleared,02-19-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/17 08:51a #6081 ",3.00,,
Cleared,02-19-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/17 05:02p #6081 ",3.00,,
Cleared,02-18-2026,"SQ *WAYLA New York NY 26048 : Debit Card Purchase 02/14 11:24p #6081 ",125.42,,
Cleared,02-18-2026,"UEP*PRINCE TEA HOUSE NEW YORK NY 26045 : Debit Card Purchase 02/13 07:34p #6081 ",75.18,,
Cleared,02-18-2026,"UEP*PRINCE TEA HOUSE NEW YORK NY 26047 : Debit Card Purchase 02/14 08:17p #6081 ",51.55,,
Cleared,02-18-2026,"STEAMGAMES.COM 4259522 Bellevue WA 26048 : Mobile Purchase Sign Based 02/15 02:07p #6081 ",43.54,,
Cleared,02-18-2026,"D3198 LYFT *1 RIDE 02-15 SAN FRANCISCO CA 26 : Mobile Purchase Sign Based 02/15 10:01p #6081 ",36.98,,
Cleared,02-18-2026,"D3198 LYFT *1 RIDE 02-14 SAN FRANCISCO CA 26 : Mobile Purchase Sign Based 02/14 02:21a #6081 ",33.54,,
Cleared,02-18-2026,"D3198 APPLE.COM/BILL CUPERTINO CA 26 : Mobile Purchase Sign Based 02/13 01:22p #6081 ",32.65,,
Cleared,02-18-2026,"D3198 DD *DOORDASH LITTLECAE 8559731040 CA 26 : Mobile Purchase Sign Based 02/13 04:51p #6081 ",16.50,,
Cleared,02-18-2026,"D3198 TST*BOS BAGELS - HARLE New York NY 26 : Mobile Purchase Sign Based 02/15 02:28p #6081 ",15.02,,
Cleared,02-18-2026,"D3198 FINE FARE SUPERMARKET NEW YORK NY 26 : Mobile Purchase Sign Based 02/14 11:32a #6081 ",14.56,,
Cleared,02-18-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/13 12:17p #6081 ",11.43,,
Cleared,02-18-2026,"STEAMGAMES.COM 4259522 Bellevue WA 26047 : Mobile Purchase Sign Based 02/14 05:10p #6081 ",11.42,,
Cleared,02-18-2026,"D3198 TST*BOS BAGELS - HARLE New York NY 26 : Mobile Purchase Sign Based 02/15 02:30p #6081 ",9.13,,
Cleared,02-18-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/14 06:53p #6081 ",3.00,,
Cleared,02-18-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/13 08:06p #6081 ",3.00,,
Cleared,02-18-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/13 08:47a #6081 ",3.00,,
Cleared,02-18-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/14 11:48p #6081 ",3.00,,
Cleared,02-18-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/13 05:01p #6081 ",3.00,,
Cleared,02-18-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/15 07:02p #6081 ",2.00,,
Cleared,02-17-2026,"UDEMY SUBSCRIPTION SAN FRANCISCO CA 26044 : Debit Card Purchase 02/12 08:32p #6081 ",38.11,,
Cleared,02-17-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/12 12:05p #6081 ",10.29,,
Cleared,02-17-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/12 06:16p #6081 ",3.00,,
Cleared,02-17-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/12 09:26a #6081 ",3.00,,
Cleared,02-13-2026,"LUCID TRADING BASKING RIDGE NJ 26043 : Debit Card Purchase 02/11 05:56p #6081 ",65.00,,
Cleared,02-13-2026,"Square Enix EL SEGUNDO CA 26043 : Mobile Purchase Sign Based 02/12 05:10a #6081 ",14.14,,
Cleared,02-13-2026,"D3198 SQ *BLACK SEED BAGELS New York NY 26 : Mobile Purchase Sign Based 02/11 12:10p #6081 ",11.43,,
Cleared,02-13-2026,"CASH APP*MR 1185 Oakland CA 26043 : DEBIT CARD TRANSFER DEBIT 02/11 03:24p #6081 ",10.00,,
Cleared,02-13-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/11 04:53p #6081 ",3.00,,
Cleared,02-13-2026,"D3198 MTA*NYCT PAYGO NEW YORK NY 26 : Mobile Purchase Sign Based 02/11 08:52a #6081 ",3.00,,
Cleared,02-12-2026,"KEIBER MEJIA : Zelle Debit PAY ID:CTISqqlNj2z8 ORG ID:2HY ",1010.00,,
Cleared,02-12-2026,"AFFIRM.COM PAYMENTS SAN FRANCISCO CA 26042 : Mobile Purchase Sign Based 02/10 09:45a #6081 ",902.54,,
Cleared,02-12-2026,"3872AE UNITED ST DIRDEP : ACH Electronic Credit ",,581.77,
Cleared,02-12-2026,"AFFIRM.COM PAYMENTS SAN FRANCISCO CA 26042 : Mobile Purchase Sign Based 02/10 09:45a #6081 ",425.63,,
